GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021
40-Jährige;1367322;1404263;1424198;1466359;1471934;1444134;1431227;1389707;1350555;1285204;1195874;1110733;1009291;932501;930179;930453;957877;981486;995070;1011818;1065188;1062573
41-Jährige;1325466;1367630;1403660;1422470;1463934;1469543;1441134;1428871;1385779;1347487;1285082;1154918;1115554;1014658;939183;942794;933123;962843;985641;997428;1013187;1066630
42-Jährige;1260096;1325031;1366909;1401548;1419889;1461601;1466390;1438489;1424256;1382125;1346531;1245781;1159128;1120204;1020846;950684;945184;937518;966513;987623;998596;1014635
43-Jährige;1237357;1259536;1324022;1364641;1399349;1417597;1458750;1463605;1433621;1420253;1381272;1307904;1249441;1163336;1125520;1031271;953024;949657;941433;968885;988332;999583
44-Jährige;1208956;1236607;1258214;1321898;1361891;1397128;1414346;1455878;1458688;1429511;1418816;1347294;1311109;1253200;1168551;1134886;1032778;956853;953081;943272;969585;988878
45-Jährige;1176030;1207862;1234722;1256051;1319398;1359439;1393843;1411275;1450926;1454265;1427530;1389312;1349727;1314370;1257494;1177330;1135810;1035587;959668;954462;944048;969960
46-Jährige;1159795;1174673;1205707;1232037;1253391;1316638;1355968;1390559;1406185;1446203;1452151;1396633;1390784;1352049;1318041;1265093;1177742;1138293;1038269;960829;954793;943804
47-Jährige;1126482;1157765;1172503;1202886;1228841;1250646;1313381;1352558;1385462;1401084;1443309;1425084;1397245;1391852;1354898;1324666;1264331;1179668;1140019;1038797;960699;954234
48-Jährige;1131138;1124315;1155464;1169433;1199763;1225769;1247058;1309865;1347055;1380276;1397952;1415602;1425407;1397810;1393452;1359970;1323771;1265662;1180738;1139590;1038215;959948
49-Jährige;1110862;1128577;1121436;1152162;1166096;1196513;1221756;1243286;1304418;1341482;1376783;1372129;1415038;1425513;1398539;1396645;1358258;1324077;1265825;1179680;1138105;1036458
50-Jährige;1120698;1108022;1125457;1117790;1148046;1162450;1192283;1217606;1237602;1298855;1337515;1354464;1371099;1414446;1425189;1400912;1393957;1357827;1323697;1263945;1177845;1135710
51-Jährige;1084091;1117385;1104667;1121792;1113855;1144190;1158089;1188090;1211829;1232064;1294578;1309492;1352831;1369707;1413324;1426217;1397753;1392300;1356220;1320960;1261618;1174754
52-Jährige;999443;1080585;1113405;1100655;1117256;1109603;1139359;1153425;1181955;1205857;1227633;1275368;1307360;1350725;1368092;1413510;1421951;1395078;1389766;1352770;1318051;1257877
53-Jährige;943614;995557;1076523;1108775;1095815;1112580;1104521;1134359;1147173;1175744;1200908;1205347;1272539;1304694;1348394;1367400;1408732;1418449;1391794;1385608;1348886;1313453
54-Jährige;830302;939581;991293;1071635;1103272;1090745;1106983;1099322;1127912;1140687;1170341;1179409;1202105;1269286;1301653;1346726;1361914;1404391;1414471;1386952;1380824;1343318
55-Jährige;737949;826037;934937;986273;1065894;1097581;1084932;1101293;1092617;1120993;1134876;1147315;1175714;1198221;1265624;1299396;1340408;1357082;1399366;1408832;1381357;1374519
56-Jährige;981853;733724;821345;929925;980565;1059733;1091159;1078735;1094070;1085620;1114905;1112845;1142859;1171109;1193969;1261766;1293120;1334645;1351589;1392942;1402572;1373938
57-Jährige;999971;975354;729066;816200;923799;974440;1053028;1084372;1071281;1086385;1079088;1092372;1107669;1137764;1166077;1190144;1254555;1286991;1327937;1344388;1385607;1394414
58-Jährige;975077;992976;968455;723816;810138;917672;967607;1046225;1076343;1063258;1079359;1057328;1086581;1101783;1132207;1160912;1182584;1247579;1279695;1319852;1336643;1376677
59-Jährige;1181002;968067;985523;960921;718034;804031;910723;960408;1037905;1067656;1055787;1055732;1050796;1080015;1095255;1126422;1152459;1175219;1239631;1271291;1311139;1327249
60-Jährige;1247770;1171255;959970;976976;952224;711709;796752;903118;951651;1028292;1059006;1034127;1048257;1043640;1072820;1088896;1117653;1144314;1166642;1230109;1261935;1300524
61-Jährige;1223925;1236424;1161033;951271;967657;943321;704410;789258;894146;942293;1019159;1032953;1026167;1040177;1035717;1065097;1079772;1108669;1135091;1157125;1220021;1250775
62-Jährige;1142454;1212233;1224590;1150029;941731;957891;933915;697389;780604;884708;933237;998618;1024167;1017767;1031649;1027643;1055517;1070337;1098993;1124758;1146667;1208290
63-Jährige;1066784;1130839;1199711;1211778;1138052;931758;947634;924066;689175;771710;875438;911431;989099;1014482;1008255;1022255;1017147;1045334;1059645;1087957;1113442;1134297
64-Jährige;1037232;1054855;1118264;1186400;1198112;1125345;921235;937097;913155;680591;762597;854441;901914;978884;1004536;998165;1011191;1006399;1033543;1047822;1076072;1100158
65-Jährige;999448;1024140;1042034;1104720;1171624;1183296;1111704;909706;925168;901472;671734;743723;844569;891371;967820;993544;986117;999682;994300;1021046;1035309;1061809
66-Jährige;926714;985463;1010252;1028050;1089904;1156267;1167798;1097459;897432;912614;889666;651478;734255;833783;880316;955943;980637;973689;986573;981186;1007452;1020393
67-Jährige;744532;912376;970422;995364;1013057;1074640;1140239;1151644;1082064;884580;899784;867419;642874;724230;822979;868455;942547;967521;960173;972595;967555;991948
68-Jährige;738522;731607;896637;954207;979443;997418;1058557;1123665;1134524;1065742;871630;876700;854952;633358;714011;811207;855561;928887;953314;946118;958288;951916
69-Jährige;747726;724474;717779;880013;937396;962778;980878;1041550;1105369;1116101;1049097;845424;863465;841653;623768;702735;798439;841915;914137;938087;930500;941864
70-Jährige;782641;732099;709693;703388;862525;919682;945228;963729;1023231;1085802;1096898;1020930;831646;849127;827839;613134;690163;784815;827191;898100;921770;913046
71-Jährige;752048;764629;715508;693668;688150;844349;901242;926983;945240;1003830;1065893;1065079;1002856;816708;834208;812814;601545;676907;770080;811462;881247;902997
72-Jährige;738595;732999;745642;697782;677310;673315;826954;881776;907323;925348;983641;1037842;1044614;983447;801337;817825;796592;589302;662844;754507;795008;862165
73-Jährige;676352;718511;712768;725229;679357;660340;656431;807265;860695;886392;904918;953281;1015924;1022605;963133;784324;800408;779008;575993;648189;737688;776134
74-Jährige;653544;656444;696700;691416;704524;662044;642140;638909;785767;838552;864272;875412;931232;992433;999697;941096;766229;781877;760437;561837;632357;718950
75-Jährige;633548;632558;634908;673450;669442;682606;641829;623106;620088;763265;815218;830647;852830;907640;968206;974315;917490;746906;761531;740528;546752;614207
76-Jährige;574342;610897;610122;613167;649616;646251;659706;620758;602648;599845;739412;782909;806578;828350;882884;940958;947484;892443;726066;740375;718997;530053
77-Jährige;545926;551956;587216;586192;589997;624560;622986;635869;598135;581029;578766;705785;757208;780463;803177;855435;912772;918608;865057;704285;717058;694896
78-Jährige;547767;521892;528378;561897;562120;565470;598848;597444;609940;573960;558084;549808;679803;729582;753546;775260;826172;882457;887604;836403;680345;691201
79-Jährige;545651;520874;496753;503089;536004;536238;539907;571745;570277;582517;548611;527823;526630;651700;701492;723930;745639;795009;849126;854829;804876;653265
80-Jährige;506703;515478;492383;469764;477455;508410;508975;513056;542723;541417;553769;515193;502732;501647;622710;669656;692490;713800;761230;814346;818459;769265
81-Jährige;360199;475438;483677;462122;443098;450433;480049;480678;484125;512151;511542;517075;487563;476219;476467;590675;636554;658716;679410;726011;775452;777644
82-Jährige;218196;335240;442751;450653;432259;414476;422278;449941;450513;453700;480272;475838;485876;458304;449106;448413;557352;601037;622557;643708;687458;732760
83-Jährige;193387;201446;309447;408189;418011;400714;385189;393333;418497;418992;422592;441272;443417;452450;428716;419124;419843;521955;563565;585337;604464;644569
84-Jährige;195477;177109;184069;282744;374843;383977;368690;355099;362878;385635;386792;384053;407244;409089;419703;396544;388732;389704;484835;524879;544669;561973
85 Jahre und mehr;1612696;1540092;1451680;1374891;1411316;1522810;1639661;1735029;1802376;1868798;1951702;1935741;1998887;2068651;2147596;2204791;2246939;2265473;2277509;2386854;2505932;2625444
Insgesamt;82259540;82440309;82536680;82531671;82500849;82437995;82314906;82217837;82002356;81802257;81751602;80327900;80523746;80767463;81197537;82175684;82521653;82792351;83019213;83166711;83155031;83237124
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2023
Stand: 10.01.2023 / 15:53:13
